,conc,add_volume,3000,1000,450,300,200,80,30,10,5
0,0.0,0,0,0,0,0,0,0,0,0,0
1,6.24,5,0,0,0,0,0,0,0,0,1
2,12.47,10,0,0,0,0,0,0,0,1,0
3,18.68,15,0,0,0,0,0,0,0,1,1
4,24.88,20,0,0,0,0,0,0,0,2,0
5,31.06,25,0,0,0,0,0,0,0,2,1
6,37.22,30,0,0,0,0,0,0,1,0,0
7,43.37,35,0,0,0,0,0,0,1,0,1
8,49.5,40,0,0,0,0,0,0,1,1,0
9,55.62,45,0,0,0,0,0,0,1,1,1
10,61.73,50,0,0,0,0,0,0,1,2,0
11,73.89,60,0,0,0,0,0,0,2,0,0
12,79.95,65,0,0,0,0,0,0,2,0,1
13,86.0,70,0,0,0,0,0,0,2,1,0
14,98.04,80,0,0,0,0,0,1,0,0,0
15,104.04,85,0,0,0,0,0,1,0,0,1
16,110.02,90,0,0,0,0,0,1,0,1,0
17,116.0,95,0,0,0,0,0,1,0,1,1
18,121.95,100,0,0,0,0,0,1,0,2,0
19,133.82,110,0,0,0,0,0,1,1,0,0
20,139.73,115,0,0,0,0,0,1,1,0,1
21,145.63,120,0,0,0,0,0,1,1,1,0
22,169.08,140,0,0,0,0,0,1,2,0,0
23,192.31,160,0,0,0,0,0,2,0,0,0
24,198.08,165,0,0,0,0,0,2,0,0,1
25,203.84,170,0,0,0,0,0,2,0,1,0
26,226.73,190,0,0,0,0,0,2,1,0,0
27,238.1,200,0,0,0,0,1,0,0,0,0
28,243.76,205,0,0,0,0,1,0,0,0,1
29,249.41,210,0,0,0,0,1,0,0,1,0
30,255.04,215,0,0,0,0,1,0,0,1,1
31,260.66,220,0,0,0,0,1,0,0,2,0
32,271.87,230,0,0,0,0,1,0,1,0,0
33,277.45,235,0,0,0,0,1,0,1,0,1
34,283.02,240,0,0,0,0,1,0,1,1,0
35,305.16,260,0,0,0,0,1,0,2,0,0
36,327.1,280,0,0,0,0,1,1,0,0,0
37,332.56,285,0,0,0,0,1,1,0,0,1
38,338.0,290,0,0,0,0,1,1,0,1,0
39,348.84,300,0,0,0,1,0,0,0,0,0
40,354.24,305,0,0,0,1,0,0,0,0,1
41,359.63,310,0,0,0,1,0,0,0,1,0
42,365.01,315,0,0,0,1,0,0,0,1,1
43,370.37,320,0,0,0,1,0,0,0,2,0
44,381.06,330,0,0,0,1,0,0,1,0,0
45,386.39,335,0,0,0,1,0,0,1,0,1
46,391.71,340,0,0,0,1,0,0,1,1,0
47,412.84,360,0,0,0,1,0,0,2,0,0
48,433.79,380,0,0,0,1,0,1,0,0,0
49,439.0,385,0,0,0,1,0,1,0,0,1
50,444.19,390,0,0,0,1,0,1,0,1,0
51,454.55,400,0,0,0,0,2,0,0,0,0
52,459.7,405,0,0,0,0,2,0,0,0,1
53,464.85,410,0,0,0,1,0,1,1,0,0
54,485.33,430,0,0,0,0,2,0,1,0,0
55,505.62,450,0,0,1,0,0,0,0,0,0
56,510.66,455,0,0,1,0,0,0,0,0,1
57,515.7,460,0,0,1,0,0,0,0,1,0
58,520.72,465,0,0,1,0,0,0,0,1,1
59,525.73,470,0,0,1,0,0,0,0,2,0
60,535.71,480,0,0,1,0,0,0,1,0,0
61,540.69,485,0,0,1,0,0,0,1,0,1
62,545.66,490,0,0,1,0,0,0,1,1,0
63,555.56,500,0,0,0,1,1,0,0,0,0
64,560.49,505,0,0,0,1,1,0,0,0,1
65,565.41,510,0,0,1,0,0,0,2,0,0
66,584.99,530,0,0,1,0,0,1,0,0,0
67,589.86,535,0,0,1,0,0,1,0,0,1
68,594.71,540,0,0,1,0,0,1,0,1,0
69,614.04,560,0,0,1,0,0,1,1,0,0
70,633.19,580,0,0,0,1,1,1,0,0,0
71,652.17,600,0,0,0,2,0,0,0,0,0
72,656.89,605,0,0,0,2,0,0,0,0,1
73,661.61,610,0,0,1,0,0,2,0,0,0
74,680.35,630,0,0,0,2,0,0,1,0,0
75,698.92,650,0,0,1,0,1,0,0,0,0
76,703.54,655,0,0,1,0,1,0,0,0,1
77,708.15,660,0,0,1,0,1,0,0,1,0
78,726.5,680,0,0,1,0,1,0,1,0,0
79,744.68,700,0,0,0,1,2,0,0,0,0
80,771.67,730,0,0,1,0,1,1,0,0,0
81,789.47,750,0,0,1,1,0,0,0,0,0
82,793.9,755,0,0,1,1,0,0,0,0,1
83,798.32,760,0,0,1,1,0,0,0,1,0
84,815.9,780,0,0,1,1,0,0,1,0,0
85,833.33,800,0,0,0,2,1,0,0,0,0
86,859.21,830,0,0,1,1,0,1,0,0,0
87,876.29,850,0,0,1,0,2,0,0,0,0
88,918.37,900,0,0,2,0,0,0,0,0,0
89,922.53,905,0,0,2,0,0,0,0,0,1
90,926.68,910,0,0,2,0,0,0,0,1,0
91,943.2,930,0,0,2,0,0,0,1,0,0
92,959.6,950,0,0,1,1,1,0,0,0,0
93,983.94,980,0,0,2,0,0,1,0,0,0
94,1000.0,1000,0,1,0,0,0,0,0,0,0
